dock_id,all_rms,X_rms,super_rms,lig_sc_rms,
3pbl_ETQ_0001,0.21,1.07,0.45,0.43,
3pbl_ETQ_0002,0.09,0.14,0.0,0.1,
3pbl_ETQ_0003,0.15,0.14,0.0,0.38,
3pbl_ETQ_0004,0.16,0.18,0.0,0.37,
3pbl_ETQ_0005,0.06,0.25,0.0,0.12,
3pbl_ETQ_0006,0.13,0.2,0.0,0.36,
3pbl_ETQ_0007,0.06,0.17,0.0,0.13,
3pbl_ETQ_0008,0.11,0.24,0.0,0.28,
3pbl_ETQ_0009,0.07,0.14,0.0,0.14,
3pbl_ETQ_0010,0.12,0.17,0.0,0.14,
3pbl_ETQ_0011,0.07,0.13,0.0,0.16,
3pbl_ETQ_0012,0.21,0.48,0.0,0.51,
3pbl_ETQ_0013,0.11,0.13,0.0,0.15,
3pbl_ETQ_0014,0.14,0.24,0.0,0.37,
3pbl_ETQ_0015,0.06,0.17,0.0,0.12,
3pbl_ETQ_0016,0.14,0.3,0.0,0.17,
3pbl_ETQ_0017,0.06,0.17,0.0,0.13,
3pbl_ETQ_0018,0.13,0.21,0.0,0.37,
3pbl_ETQ_0019,0.06,0.11,0.0,0.13,
3pbl_ETQ_0020,0.17,0.09,0.0,0.18,
3pbl_ETQ_0021,0.08,0.19,0.0,0.15,
3pbl_ETQ_0022,0.15,0.22,0.0,0.35,
3pbl_ETQ_0023,0.28,2.02,1.48,0.85,
3pbl_ETQ_0024,0.08,0.1,0.0,0.14,
3pbl_ETQ_0025,0.05,0.1,0.0,0.08,
3pbl_ETQ_0026,0.06,0.2,0.0,0.12,
3pbl_ETQ_0027,0.22,1.05,0.45,0.65,
3pbl_ETQ_0028,0.09,0.1,0.0,0.12,
3pbl_ETQ_0029,0.07,0.22,0.0,0.15,
3pbl_ETQ_0030,0.09,0.13,0.0,0.1,
3pbl_ETQ_0031,0.14,0.23,0.0,0.37,
3pbl_ETQ_0032,0.13,0.24,0.0,0.36,
3pbl_ETQ_0033,0.07,0.21,0.0,0.14,
3pbl_ETQ_0034,0.11,0.29,0.0,0.3,
3pbl_ETQ_0035,0.05,0.14,0.0,0.12,
3pbl_ETQ_0036,0.13,0.11,0.0,0.36,
3pbl_ETQ_0037,0.13,0.05,0.0,0.36,
3pbl_ETQ_0038,0.07,0.17,0.0,0.15,
3pbl_ETQ_0039,0.06,0.15,0.0,0.12,
3pbl_ETQ_0040,0.05,0.13,0.0,0.11,
3pbl_ETQ_0041,0.14,0.06,0.0,0.36,
3pbl_ETQ_0042,0.12,0.26,0.0,0.16,
3pbl_ETQ_0043,0.17,0.21,0.0,0.29,
3pbl_ETQ_0044,0.14,0.16,0.0,0.36,
3pbl_ETQ_0045,0.05,0.1,0.0,0.12,
3pbl_ETQ_0046,0.16,0.28,0.0,0.28,
3pbl_ETQ_0047,0.37,3.87,0.93,1.57,
3pbl_ETQ_0048,0.1,0.16,0.0,0.14,
3pbl_ETQ_0049,0.07,0.19,0.0,0.13,
3pbl_ETQ_0050,0.09,0.13,0.0,0.13,
3pbl_ETQ_0051,0.39,3.15,1.53,1.27,
3pbl_ETQ_0052,0.13,0.15,0.0,0.36,
3pbl_ETQ_0053,0.34,1.97,1.48,0.82,
3pbl_ETQ_0054,0.13,0.2,0.0,0.36,
3pbl_ETQ_0055,0.06,0.26,0.0,0.13,
3pbl_ETQ_0056,0.06,0.24,0.0,0.14,
3pbl_ETQ_0057,0.07,0.07,0.0,0.11,
3pbl_ETQ_0058,0.06,0.09,0.0,0.1,
3pbl_ETQ_0059,0.06,0.13,0.0,0.13,
3pbl_ETQ_0060,0.2,0.17,0.0,0.36,
3pbl_ETQ_0061,0.06,0.31,0.0,0.15,
3pbl_ETQ_0062,0.07,0.22,0.0,0.14,
3pbl_ETQ_0063,0.1,0.17,0.0,0.12,
3pbl_ETQ_0064,0.39,2.55,1.28,1.05,
3pbl_ETQ_0065,0.05,0.15,0.0,0.12,
3pbl_ETQ_0066,0.06,0.16,0.0,0.13,
3pbl_ETQ_0067,0.14,0.29,0.0,0.26,
3pbl_ETQ_0068,0.07,0.24,0.0,0.15,
3pbl_ETQ_0069,0.04,0.11,0.0,0.1,
3pbl_ETQ_0070,0.1,0.2,0.0,0.15,
3pbl_ETQ_0071,0.39,2.42,1.18,1.05,
3pbl_ETQ_0072,0.06,0.18,0.0,0.12,
3pbl_ETQ_0073,0.06,0.16,0.0,0.15,
3pbl_ETQ_0074,0.36,2.2,1.78,0.86,
3pbl_ETQ_0075,0.06,0.19,0.0,0.13,
3pbl_ETQ_0076,0.13,0.16,0.0,0.36,
3pbl_ETQ_0077,0.13,0.21,0.0,0.35,
3pbl_ETQ_0078,0.11,0.14,0.0,0.15,
3pbl_ETQ_0079,0.06,0.18,0.0,0.12,
3pbl_ETQ_0080,0.07,0.16,0.0,0.12,
3pbl_ETQ_0081,0.13,0.2,0.0,0.37,
3pbl_ETQ_0082,0.38,2.56,1.18,1.04,
3pbl_ETQ_0083,0.12,0.16,0.0,0.16,
3pbl_ETQ_0084,0.13,0.17,0.0,0.35,
3pbl_ETQ_0085,0.32,1.97,1.48,0.95,
3pbl_ETQ_0086,0.06,0.12,0.0,0.1,
3pbl_ETQ_0087,0.07,0.2,0.0,0.13,
3pbl_ETQ_0088,0.07,0.25,0.0,0.13,
3pbl_ETQ_0089,0.14,0.3,0.0,0.38,
3pbl_ETQ_0090,0.29,1.97,1.48,0.87,
3pbl_ETQ_0091,0.06,0.18,0.0,0.15,
3pbl_ETQ_0092,0.31,2.34,0.93,1.04,
3pbl_ETQ_0093,0.07,0.26,0.0,0.15,
3pbl_ETQ_0094,0.64,6.49,1.78,2.33,
3pbl_ETQ_0095,0.06,0.16,0.0,0.14,
3pbl_ETQ_0096,0.07,0.17,0.0,0.12,
3pbl_ETQ_0097,0.04,0.18,0.0,0.11,
3pbl_ETQ_0098,0.18,0.15,0.0,0.12,
3pbl_ETQ_0099,0.08,0.17,0.0,0.13,
3pbl_ETQ_0100,0.07,0.18,0.0,0.15,
3pbl_ETQ_0101,0.14,0.21,0.0,0.36,
3pbl_ETQ_0102,0.09,0.23,0.0,0.12,
3pbl_ETQ_0103,0.1,0.11,0.0,0.1,
3pbl_ETQ_0104,0.16,0.15,0.0,0.14,
3pbl_ETQ_0105,0.13,0.14,0.0,0.35,
3pbl_ETQ_0106,0.06,0.05,0.0,0.13,
3pbl_ETQ_0107,0.05,0.18,0.0,0.11,
3pbl_ETQ_0108,0.13,0.18,0.0,0.35,
3pbl_ETQ_0109,0.06,0.19,0.0,0.14,
3pbl_ETQ_0110,0.06,0.13,0.0,0.12,
3pbl_ETQ_0111,0.06,0.14,0.0,0.11,
3pbl_ETQ_0112,0.06,0.17,0.0,0.12,
3pbl_ETQ_0113,0.08,0.2,0.0,0.25,
3pbl_ETQ_0114,0.07,0.17,0.0,0.11,
3pbl_ETQ_0115,0.06,0.24,0.0,0.13,
3pbl_ETQ_0116,0.06,0.14,0.0,0.12,
3pbl_ETQ_0117,0.09,0.13,0.0,0.12,
3pbl_ETQ_0118,0.17,0.1,0.0,0.13,
3pbl_ETQ_0119,0.15,0.08,0.0,0.35,
3pbl_ETQ_0120,0.08,0.17,0.0,0.14,
3pbl_ETQ_0121,0.14,0.12,0.0,0.36,
3pbl_ETQ_0122,0.07,0.1,0.0,0.11,
3pbl_ETQ_0123,0.15,0.21,0.0,0.27,
3pbl_ETQ_0124,0.06,0.18,0.0,0.13,
3pbl_ETQ_0125,0.09,0.14,0.0,0.13,
3pbl_ETQ_0126,0.2,0.21,0.0,0.56,
3pbl_ETQ_0127,0.14,0.13,0.0,0.36,
3pbl_ETQ_0128,0.13,0.06,0.0,0.36,
3pbl_ETQ_0129,0.21,1.5,1.08,0.6,
3pbl_ETQ_0130,0.08,0.27,0.0,0.18,
3pbl_ETQ_0131,0.12,0.13,0.0,0.16,
3pbl_ETQ_0132,0.05,0.11,0.0,0.1,
3pbl_ETQ_0133,0.19,0.22,0.0,0.44,
3pbl_ETQ_0134,0.06,0.13,0.0,0.11,
3pbl_ETQ_0135,0.06,0.2,0.0,0.13,
3pbl_ETQ_0136,0.07,0.13,0.0,0.13,
3pbl_ETQ_0137,0.0,0.0,0.0,0.0,
3pbl_ETQ_0138,0.13,0.18,0.0,0.36,
3pbl_ETQ_0139,0.12,0.24,0.0,0.17,
3pbl_ETQ_0140,0.06,0.21,0.0,0.11,
3pbl_ETQ_0141,0.19,0.07,0.0,0.36,
3pbl_ETQ_0142,0.09,0.31,0.0,0.15,
3pbl_ETQ_0143,0.05,0.13,0.0,0.1,
3pbl_ETQ_0144,0.06,0.23,0.0,0.12,
3pbl_ETQ_0145,0.17,0.25,0.0,0.44,
3pbl_ETQ_0146,0.07,0.08,0.0,0.11,
3pbl_ETQ_0147,0.11,0.23,0.0,0.29,
3pbl_ETQ_0148,0.07,0.24,0.0,0.13,
3pbl_ETQ_0149,0.07,0.18,0.0,0.13,
3pbl_ETQ_0150,0.06,0.13,0.0,0.11,
3pbl_ETQ_0151,0.14,0.25,0.0,0.37,
3pbl_ETQ_0152,0.06,0.13,0.0,0.15,
3pbl_ETQ_0153,0.04,0.15,0.0,0.09,
3pbl_ETQ_0154,0.17,0.1,0.0,0.35,
3pbl_ETQ_0155,0.11,0.12,0.0,0.11,
3pbl_ETQ_0156,0.09,0.15,0.0,0.11,
3pbl_ETQ_0157,0.13,0.12,0.0,0.36,
3pbl_ETQ_0158,0.17,0.17,0.0,0.26,
3pbl_ETQ_0159,0.15,0.11,0.0,0.36,
3pbl_ETQ_0160,0.13,0.15,0.0,0.37,
3pbl_ETQ_0161,0.07,0.19,0.0,0.14,
3pbl_ETQ_0162,0.07,0.13,0.0,0.12,
3pbl_ETQ_0163,0.14,0.18,0.0,0.36,
3pbl_ETQ_0164,0.07,0.14,0.0,0.14,
3pbl_ETQ_0165,0.13,0.1,0.0,0.36,
3pbl_ETQ_0166,0.07,0.22,0.0,0.14,
3pbl_ETQ_0167,0.16,0.17,0.0,0.13,
3pbl_ETQ_0168,0.12,0.26,0.0,0.3,
3pbl_ETQ_0169,0.15,0.17,0.0,0.36,
3pbl_ETQ_0170,0.08,0.14,0.0,0.17,
3pbl_ETQ_0171,0.04,0.07,0.0,0.07,
3pbl_ETQ_0172,0.08,0.17,0.0,0.14,
3pbl_ETQ_0173,0.16,0.6,0.45,0.51,
3pbl_ETQ_0174,0.1,0.29,0.0,0.16,
3pbl_ETQ_0175,0.14,0.16,0.0,0.36,
3pbl_ETQ_0176,0.2,0.79,0.63,0.32,
3pbl_ETQ_0177,0.07,0.15,0.0,0.13,
3pbl_ETQ_0178,0.05,0.1,0.0,0.11,
3pbl_ETQ_0179,0.07,0.17,0.0,0.12,
3pbl_ETQ_0180,0.07,0.1,0.0,0.11,
3pbl_ETQ_0181,0.1,0.27,0.0,0.15,
3pbl_ETQ_0182,0.16,0.22,0.0,0.44,
3pbl_ETQ_0183,0.1,0.15,0.0,0.12,
3pbl_ETQ_0184,0.06,0.15,0.0,0.13,
3pbl_ETQ_0185,0.12,0.14,0.0,0.12,
3pbl_ETQ_0186,0.07,0.16,0.0,0.1,
3pbl_ETQ_0187,0.65,6.49,1.41,2.47,
3pbl_ETQ_0188,0.18,0.15,0.0,0.5,
3pbl_ETQ_0189,0.09,0.13,0.0,0.12,
3pbl_ETQ_0190,0.07,0.16,0.0,0.13,
3pbl_ETQ_0191,0.08,0.28,0.0,0.18,
3pbl_ETQ_0192,0.08,0.19,0.0,0.15,
3pbl_ETQ_0193,0.07,0.14,0.0,0.13,
3pbl_ETQ_0194,0.06,0.13,0.0,0.11,
3pbl_ETQ_0195,0.08,0.22,0.0,0.13,
3pbl_ETQ_0196,0.15,0.17,0.0,0.36,
3pbl_ETQ_0197,0.21,0.14,0.0,0.38,
3pbl_ETQ_0198,0.15,0.14,0.0,0.36,
3pbl_ETQ_0199,0.14,0.19,0.0,0.37,
3pbl_ETQ_0200,0.65,6.79,0.82,2.52,
